timestamp,cpu_percent,mem_percent,raw_pred,voted_pred,active_sched,switched
1775027726.2342384,5.8,18.9,idle,idle,idle,False
1775027726.2842808,7.2,18.9,idle,idle,idle,False
1775027726.3343935,11.1,18.9,idle,idle,idle,False
1775027726.3846068,7.0,18.9,idle,idle,idle,False
1775027726.4346325,7.1,18.9,idle,idle,idle,False
1775027726.4846907,8.3,18.9,idle,idle,idle,False
1775027726.5347803,4.5,18.9,idle,idle,idle,False
1775027726.5849853,4.3,18.9,idle,idle,idle,False
1775027726.6350594,9.9,18.9,idle,idle,idle,False
1775027726.6850777,10.8,18.9,idle,idle,idle,False
1775027726.7351615,8.6,18.9,idle,idle,idle,False
1775027726.785249,8.6,18.9,idle,idle,idle,False
1775027726.8353422,8.3,18.9,idle,idle,idle,False
1775027726.8854508,4.3,18.9,idle,idle,idle,False
1775027726.935535,5.8,18.9,idle,idle,idle,False
1775027726.9856346,8.3,18.9,idle,idle,idle,False
1775027727.0357127,4.5,18.9,idle,idle,idle,False
1775027727.0857852,8.3,18.9,idle,idle,idle,False
1775027727.135852,5.7,18.9,idle,idle,idle,False
1775027727.1860142,5.7,18.9,idle,idle,idle,False
1775027727.236108,4.4,18.9,idle,idle,idle,False
1775027727.2862616,4.3,18.9,idle,idle,idle,False
1775027728.1633866,7.1,18.9,idle,idle,idle,False
1775027728.213518,2.9,18.9,idle,idle,idle,False
1775027728.2636602,2.9,18.9,idle,idle,idle,False
1775027728.3162632,11.7,18.9,idle,idle,idle,False
1775027728.3663437,8.6,18.9,idle,idle,idle,False
1775027728.4164724,8.6,18.9,idle,idle,idle,False
1775027728.4666007,4.4,18.9,idle,idle,idle,False
1775027728.5166824,7.1,18.9,idle,idle,idle,False
1775027728.5667715,12.2,18.9,idle,idle,idle,False
1775027728.6169958,7.1,18.9,idle,idle,idle,False
1775027728.6670744,7.2,18.9,idle,idle,idle,False
1775027728.7172015,8.6,18.9,idle,idle,idle,False
1775027728.767297,8.5,18.9,idle,idle,idle,False
1775027728.8174133,4.3,18.9,idle,idle,idle,False
1775027728.86755,5.8,18.9,idle,idle,idle,False
1775027728.9176607,9.6,18.9,idle,idle,idle,False
1775027728.9677873,8.6,18.9,idle,idle,idle,False
1775027729.0179052,7.0,18.9,idle,idle,idle,False
1775027729.0680335,4.3,18.9,idle,idle,idle,False
1775027729.1181376,7.2,18.9,idle,idle,idle,False
1775027729.1682663,5.8,18.9,idle,idle,idle,False
1775027729.2183952,7.0,18.9,idle,idle,idle,False
1775027729.2685122,7.1,18.9,idle,idle,idle,False
1775027729.3187416,11.3,18.9,idle,idle,idle,False
1775027729.3688986,8.3,18.9,idle,idle,idle,False
1775027729.4190571,4.4,18.9,idle,idle,idle,False
1775027729.4692278,8.2,18.9,idle,idle,idle,False
1775027729.519358,2.9,18.9,idle,idle,idle,False
1775027729.5694687,9.7,18.9,idle,idle,idle,False
1775027729.6211452,10.8,18.9,idle,idle,idle,False
1775027729.671262,7.1,18.9,idle,idle,idle,False
1775027729.721382,7.0,18.9,idle,idle,idle,False
1775027729.7714949,5.7,18.9,idle,idle,idle,False
1775027729.8216157,8.5,18.9,idle,idle,idle,False
1775027729.8717165,4.4,18.9,idle,idle,idle,False
1775027729.9218736,5.7,18.9,idle,idle,idle,False
1775027729.971976,5.8,18.9,idle,idle,idle,False
1775027730.0220616,8.5,18.9,idle,idle,idle,False
1775027730.0721462,8.5,18.9,idle,idle,idle,False
1775027730.122259,9.7,18.9,idle,idle,idle,False
1775027730.1723495,2.9,18.9,idle,idle,idle,False
1775027730.2224555,4.4,18.9,idle,idle,idle,False
1775027730.272563,7.0,18.9,idle,idle,idle,False
1775027730.322664,11.0,18.9,idle,idle,idle,False
